Lesion ID | Total Images | Image IDs
--------------------------------------------------------------------------------
HAM_0003789  | 6            | ISIC_0026016, ISIC_0029505, ISIC_0031277, ISIC_0031853, ISIC_0029464, ISIC_0024915
HAM_0001863  | 6            | ISIC_0032797, ISIC_0032596, ISIC_0032856, ISIC_0033193, ISIC_0033125, ISIC_0032810
HAM_0000835  | 6            | ISIC_0025378, ISIC_0030394, ISIC_0027270, ISIC_0031329, ISIC_0026530, ISIC_0024409
HAM_0005263  | 6            | ISIC_0034163, ISIC_0034277, ISIC_0034147, ISIC_0033247, ISIC_0033918, ISIC_0032889
HAM_0007343  | 5            | ISIC_0033946, ISIC_0033369, ISIC_0032447, ISIC_0033655, ISIC_0033831
HAM_0007367  | 5            | ISIC_0032705, ISIC_0034198, ISIC_0033658, ISIC_0033046, ISIC_0032689
HAM_0000893  | 5            | ISIC_0026409, ISIC_0025345, ISIC_0032303, ISIC_0032103, ISIC_0024825
HAM_0002364  | 5            | ISIC_0029838, ISIC_0025446, ISIC_0024712, ISIC_0030348, ISIC_0032042
HAM_0007427  | 5            | ISIC_0033660, ISIC_0034221, ISIC_0033945, ISIC_0033491, ISIC_0034280
HAM_0003021  | 4            | ISIC_0031468, ISIC_0030926, ISIC_0032283, ISIC_0030005
HAM_0003033  | 4            | ISIC_0025970, ISIC_0025989, ISIC_0025165, ISIC_0028698
HAM_0007385  | 4            | ISIC_0030933, ISIC_0025043, ISIC_0029277, ISIC_0030920
HAM_0005712  | 4            | ISIC_0026451, ISIC_0032385, ISIC_0029970, ISIC_0025101
HAM_0000237  | 4            | ISIC_0027893, ISIC_0030935, ISIC_0029213, ISIC_0032040
HAM_0001512  | 4            | ISIC_0025078, ISIC_0025516, ISIC_0029835, ISIC_0028101
HAM_0005755  | 4            | ISIC_0026226, ISIC_0028174, ISIC_0024566, ISIC_0025112
HAM_0007349  | 4            | ISIC_0026178, ISIC_0032014, ISIC_0027184, ISIC_0029462
HAM_0004443  | 4            | ISIC_0030945, ISIC_0028758, ISIC_0031131, ISIC_0031473
HAM_0000959  | 4            | ISIC_0029288, ISIC_0031008, ISIC_0030189, ISIC_0026532
HAM_0001721  | 4            | ISIC_0029040, ISIC_0029588, ISIC_0031181, ISIC_0024947
HAM_0000889  | 4            | ISIC_0026581, ISIC_0025936, ISIC_0026401, ISIC_0030370
HAM_0000509  | 4            | ISIC_0031447, ISIC_0024837, ISIC_0031667, ISIC_0026027
HAM_0001934  | 4            | ISIC_0028787, ISIC_0026008, ISIC_0026753, ISIC_0031134
HAM_0003221  | 4            | ISIC_0029104, ISIC_0030520, ISIC_0032341, ISIC_0029756
